NOMBRE,POBLACION
Paterna del Rio,365
Pechina,4103
Pulpi,10358
Purchena,1664
Ragol,303
Rioja,1453
Roquetas de Mar,98433
Santa Cruz de Marchena,199
Santa Fe de Mondujar,461
Senes,289
Seron,2033
Sierro,379
Somontin,443
Sorbas,2436
Sufli,196
Tabernas,3717
Taberno,974
Tahal,336
Terque,365
Tijola,3548
"Tres Villas, Las",565
Turre,3781
Turrillas,248
Uleila del Campo,822
Urracal,350
Velefique,230
Velez-Blanco,1874
Velez-Rubio,6546
Vera,16996
Viator,5978
Vicar,26899
Zurgena,2956
Agurain/Salvatierra,5038
Alegria-Dulantzi,2935
Amurrio,10264
Añana,149
Aramaio,1442
Armiñon,223
Arraia-Maeztu,733
Arratzua-Ubarrundia,984
Artziniega,1800
Asparrena,1623
Ayala/Aiara,2968
Baños de Ebro/Mañueta,294
Barrundia,881
Berantevilla,463
Bernedo,507
Campezo/Kanpezu,1034
Elburgo/Burgelu,608
Elciego,1001
Elvillar/Bilar,330
Erriberabeitia,1383
Erriberagoitia/Ribera Alta,782
Harana/Valle de Arana,218
Iruña Oka/Iruña de Oca,3488
Iruraiz-Gauna,532
Kripan,178
Kuartango,385
Labastida/Bastida,1517
Lagran,162
Laguardia,1454
Lanciego/Lantziego,709
Lantaron,877
Lapuebla de Labarca,865
Laudio/Llodio,18118
Legutio,1921
Leza,211
Moreda de alava/Moreda Araba,211
Navaridas,194
Okondo,1203
Oyon-Oion,3410
Peñacerrada-Urizaharra,262
Samaniego,315
San Millan/Donemiliaga,706
Urkabustaiz,1386
Valdegovia/Gaubea,986
Villabuena de alava/Eskuernaga,274
Vitoria-Gasteiz,253996
Yecora/Iekora,270
Zalduondo,185
Zambrana,416
Zigoitia,1749
Zuia,2300
Allande,1615
Aller,10413
Amieva,628
Aviles,77791
Belmonte de Miranda,1437
Bimenes,1679
Boal,1482
Cabrales,1941
Cabranes,1057
Candamo,1969
Cangas de Onis,6209
Cangas del Narcea,12124
Caravia,469
Carreño,10301
Caso,1457
Castrillon,22273
Castropol,3342
Coaña,3296
Colunga,3205
Corvera de Asturias,15525
Cudillero,4922
Degaña,881
"Franco, El",3760
Gijon,271717
Gozon,10282
Grado,9703
Grandas de Salime,815
Ibias,1207
Illano,333
Illas,1023
Langreo,39183
Laviana,12882
Lena,10701
Llanera,13695
Llanes,13473
Mieres,37537
Morcin,2555
Muros de Nalon,1887
Nava,5276
Navia,8322
Noreña,5145
Onis,734
Oviedo,219910
Parres,5315
Peñamellera Alta,498
Peñamellera Baja,1227
Pesoz,148
Piloña,6875
Ponga,572
Pravia,7984
Proaza,707
Quiros,1187
"Regueras, Las",1839
Ribadedeva,1741
Ribadesella,5688
Ribera de Arriba,1837
Riosa,1848
Salas,4900
San Martin de Oscos,376
San Martin del Rey Aurelio,15817
San Tirso de Abres,421
Santa Eulalia de Oscos,449
Santo Adriano,273
Sariego,1254
Siero,51509
Sobrescobio,814
Somiedo,1093
Soto del Barco,3800
Tapia de Casariego,3726
Taramundi,602
Teverga,1554
Tineo,9199
Valdes,11394
Vegadeo,3926
Villanueva de Oscos,272
Villaviciosa,14470
Villayon,1180
Yernes y Tameza,133
Adanero,211
"Adrada, La",2539
Albornos,177
Aldeanueva de Santa Cruz,117
Aldeaseca,228
"Aldehuela, La",153
Amavida,127
"Arenal, El",948
Arenas de San Pedro,6344
Arevalillo,69
Arevalo,7960
Aveinte,83
Avellaneda,26
avila,58369
"Barco de avila, El",2330
"Barraco, El",1893
Barroman,185
Becedas,191
Becedillas,80
Bercial de Zapardiel,197
"Berlanas, Las",329
Bernuy-Zapardiel,97
Berrocalejo de Aragona,49
Blascomillan,181
Blasconuño de Matacabras,14
Blascosancho,96
"Bohodon, El",117
Bohoyo,232
Bonilla de la Sierra,125
Brabos,43
Bularros,66
Burgohondo,1180
Cabezas de Alambre,161
Cabezas del Pozo,70
Cabezas del Villar,257
Cabizuela,79
Canales,42
Candeleda,5025
Cantiveros,98
Cardeñosa,435
"Carrera, La",167
Casas del Puerto,85
Casasola,73
Casavieja,1434
Casillas,640
Castellanos de Zapardiel,94
Cebreros,3152
Cepeda la Mora,74
Chamartin,74
Cillan,88
Cisla,98
"Colilla, La",335
Collado de Contreras,160
Collado del Miron,31
Constanzana,105
Crespos,493
Cuevas del Valle,475
Diego del Carpio,126
Donjimeno,77
Donvidas,30
Espinosa de los Caballeros,112
Flores de avila,295
Fontiveros,749
Fresnedilla,107
"Fresno, El",582
Fuente el Sauz,159
Fuentes de Año,95
Gallegos de Altamiros,66
Gallegos de Sobrinos,40
Garganta del Villar,39
Gavilanes,563
Gemuño,152
Gil Garcia,38
Gilbuena,60
Gimialcon,75
Gotarrendura,170
Grandes y San Martin,25
Guisando,510
Gutierre-Muñoz,75
Hernansancho,155
Herradon de Pinares,419
Herreros de Suso,129
Higuera de las Dueñas,260
"Hija de Dios, La",75
"Horcajada, La",486
Horcajo de las Torres,496
"Hornillo, El",277
"Hoyo de Pinares, El",2129
Hoyocasero,281
Hoyorredondo,61
Hoyos de Miguel Muñoz,27
Hoyos del Collado,33
Hoyos del Espino,368
Hurtumpascual,48
Junciana,35
Langa,480
Lanzahita,811
"Llanos de Tormes, Los",60
"Losar del Barco, El",107
Madrigal de las Altas Torres,1399
Maello,590
Malpartida de Corneja,96
Mamblas,200
Mancera de Arriba,69
Manjabalago y Ortigosa de Rioalmar,24
Marlin,32
Martiherrero,314
Martinez,113
Mediana de Voltoya,114
Medinilla,91
Mengamuñoz,61
Mesegar de Corneja,57
Mijares,694
Mingorria,373
"Miron, El",118
Mironcillo,106
Mirueña de los Infanzones,94
Mombeltran,942
Monsalupe,62
Moraleja de Matacabras,49
Muñana,371
Muñico,86
Muñogalindo,326
Muñogrande,70
Muñomer del Peco,109
Muñopepe,101
Muñosancho,91
Muñotello,58
Narrillos del alamo,72
Narrillos del Rebollar,43
Narros de Saldueña,106
Narros del Castillo,151
Narros del Puerto,23
Nava de Arevalo,718
Nava del Barco,79
Navacepedilla de Corneja,94
Navadijos,31
Navaescurial,45
Navahondilla,321
Navalacruz,226
Navalmoral,338
Navalonguilla,216
Navalosa,300
Navalperal de Pinares,757
Navalperal de Tormes,81
Navaluenga,2018
Navaquesera,16
Navarredonda de Gredos,430
Navarredondilla,177
Navarrevisca,256
"Navas del Marques, Las",5146
Navatalgordo,231
Navatejares,51
Neila de San Miguel,67
Niharra,202
Ojos-Albos,76
Orbita,69
"Oso, El",158
Padiernos,273
Pajares de Adaja,138
Palacios de Goda,389
Papatrigo,227
"Parral, El",62
Pascualcobo,43
Pedro Bernardo,787
Pedro-Rodriguez,133
Peguerinos,275
Peñalba de avila,105
Piedrahita,1802
Piedralaves,2070
Poveda,39
Poyales del Hoyo,458
Pozanco,53
Pradosegar,109
Puerto Castilla,107
Rasueros,174
Riocabado,137
Riofrio,203
Rivilla de Barajas,67
Salobral,112
Salvadios,69
San Bartolome de Bejar,39
San Bartolome de Corneja,44
San Bartolome de Pinares,534
San Esteban de los Patos,23
San Esteban de Zapardiel,40
San Esteban del Valle,718
San Garcia de Ingelmos,75
San Juan de Gredos,247
San Juan de la Encinilla,80
San Juan de la Nava,459
San Juan del Molinillo,196
San Juan del Olmo,90
San Lorenzo de Tormes,27
San Martin de la Vega del Alberche,166
San Martin del Pimpollar,186
San Miguel de Corneja,53
San Miguel de Serrezuela,115
San Pascual,39
San Pedro del Arroyo,422
San Vicente de Arevalo,170
Sanchidrian,714
Sanchorreja,83
Santa Cruz de Pinares,148
Santa Cruz del Valle,332
Santa Maria de los Caballeros,63
Santa Maria del Arroyo,105
Santa Maria del Berrocal,388
Santa Maria del Cubillo,303
Santa Maria del Tietar,447
Santiago del Collado,170
Santiago del Tormes,114
Santo Domingo de las Posadas,69
Santo Tome de Zabarcos,67
"Serrada, La",118
Serranillos,243
Sigeres,45
Sinlabajos,143
Solana de avila,110
Solana de Rioalmar,151
Solosancho,820
Sotalbo,232
Sotillo de la Adrada,4653
"Tiemblo, El",4180
Tiñosillos,775
Tolbaños,78
Tormellas,37
Tornadizos de avila,418
"Torre, La",230
Tortoles,46
Umbrias,96
Vadillo de la Sierra,54
Valdecasa,59
Vega de Santa Maria,77
Velayos,214
Villaflor,111
Villafranca de la Sierra,129
Villanueva de avila,217
Villanueva de Gomez,115
Villanueva del Aceral,109
Villanueva del Campillo,101
Villar de Corneja,35
Villarejo del Valle,328
Villatoro,157
Viñegra de Moraña,53
Vita,83
Zapardiel de la Cañada,91
Zapardiel de la Ribera,107
Acedera,826
Aceuchal,5478
Ahillones,863
Alange,1856
"Albuera, La",2035
Alburquerque,5293
Alconchel,1659
Alconera,743
Aljucen,250
Almendral,1239
Almendralejo,33855
Arroyo de San Servan,4080
Atalaya,294
Azuaga,7747
Badajoz,150984
Barcarrota,3483
Baterno,266
Benquerencia de la Serena,812
Berlanga,2331
Bienvenida,2081
Bodonal de la Sierra,1036
Burguillos del Cerro,3066
Cabeza del Buey,4808
Cabeza la Vaca,1298
Calamonte,6170
Calera de Leon,930
Calzadilla de los Barros,736
Campanario,4854
Campillo de Llerena,1343
Capilla,172
Carmonita,524
"Carrascalejo, El",85
Casas de Don Pedro,1447
Casas de Reina,199
Castilblanco,915
Castuera,5784
Cheles,1173
"Codosera, La",2061
Cordobilla de Lacara,897
"Coronada, La",2165
Corte de Peleas,1191
Cristina,551
Don alvaro,775
Don Benito,37284
Entrin Bajo,552
Esparragalejo,1460
Esparragosa de la Serena,998
Esparragosa de Lares,906
Feria,1115
Fregenal de la Sierra,4836
Fuenlabrada de los Montes,1811
Fuente de Cantos,4687
Fuente del Arco,681
Fuente del Maestre,6714
Fuentes de Leon,2248
Garbayuela,509
Garlitos,565
"Garrovilla, La",2357
Granja de Torrehermosa,1977
Guadiana del Caudillo,2492
Guareña,6888
"Haba, La",1219
Helechosa de los Montes,626
Herrera del Duque,3489
Higuera de la Serena,936
Higuera de Llerena,337
Higuera de Vargas,1925
Higuera la Real,2219
Hinojosa del Valle,475
Hornachos,3537
Jerez de los Caballeros,9196
"Lapa, La",279
Llera,829
Llerena,5743
Lobon,2756
Magacela,523
Maguilla,957
Malcocinado,356
Malpartida de la Serena,543
Manchita,764
Medellin,2275
Medina de las Torres,1176
Mengabril,498
Merida,59548
Mirandilla,1262
Monesterio,4216
Montemolin,1361
Monterrubio de la Serena,2326
Montijo,15504
"Morera, La",714
"Nava de Santiago, La",926
Navalvillar de Pela,4403
Nogales,658
Oliva de la Frontera,5086
Oliva de Merida,1725
Olivenza,11912
Orellana de la Sierra,244
Orellana la Vieja,2641
Palomas,671
"Parra, La",1327
Peñalsordo,896
Peraleda del Zaucejo,507
Puebla de Alcocer,1212
Puebla de la Calzada,5834
Puebla de la Reina,724
Puebla de Obando,1839
Puebla de Sancho Perez,2676
Puebla del Maestre,670
Puebla del Prior,480
Pueblonuevo del Guadiana,2008
Quintana de la Serena,4574
Reina,150
Rena,610
Retamal de Llerena,436
Ribera del Fresno,3256
Risco,132
"Roca de la Sierra, La",1455
Salvaleon,1721
Salvatierra de los Barros,1607
San Pedro de Merida,838
San Vicente de Alcantara,5377
Sancti-Spiritus,165
Santa Amalia,3975
Santa Marta,4124
"Santos de Maimona, Los",8075
Segura de Leon,1851
Siruela,1861
Solana de los Barros,2601
Talarrubias,3406
Talavera la Real,5314
Taliga,678
Tamurejo,212
Torre de Miguel Sesmero,1246
Torremayor,949
Torremejia,2257
Trasierra,625
Trujillanos,1376
Usagre,1751
Valdecaballeros,1065
Valdelacalzada,2721
Valdetorres,1179
Valencia de las Torres,540
Valencia del Mombuey,725
Valencia del Ventoso,1960
Valle de la Serena,1172
Valle de Matamoros,363
Valle de Santa Ana,1143
Valverde de Burguillos,273
Valverde de Leganes,4167
Valverde de Llerena,570
Valverde de Merida,1047
Villafranca de los Barros,12673
Villagarcia de la Torre,906
Villagonzalo,1234
Villalba de los Barros,1475
Villanueva de la Serena,25752
Villanueva del Fresno,3364
Villar de Rena,1353
Villar del Rey,2106
Villarta de los Montes,423
Zafra,16810
Zahinos,2774
Zalamea de la Serena,3545
"Zarza, La",3402
Zarza-Capilla,310
Alaior,9467
Alaro,5617
Alcudia,20819
Algaida,5793
Andratx,11433
Ariany,902
Artà,7984
Banyalbufar,523
Binissalem,8756
Buger,1087
Bunyola,6895
Calvià,51710
Campanet,2648
Campos,11283
Capdepera,12158
"Castell, Es",7572
Ciutadella de Menorca,30588
Consell,4125
Costitx,1329
Deià,630
Eivissa,51128
Escorca,208
Esporles,5113
Estellencs,327
Felanitx,18202
Ferreries,4908
Formentera,11904
Fornalutx,679
Inca,33679
Lloret de Vistalegre,1437
Lloseta,6122
Llubi,2298
Llucmajor,37752
Manacor,44527
Mancor de la Vall,1528
Mao-Mahon,29592
Maria de la Salut,2245
Marratxi,37724
"Mercadal, Es",5316
"Migjorn Gran, Es",1463
Montuïri,2987
Muro,7394
Palma ,422587
Petra,2942
"Pobla, Sa",13764
Pollença,16658
Porreres,5576
Puigpunyent,2044
"Salines, Ses",5096
Sant Antoni de Portmany,27033
Sant Joan,2145
Sant Joan de Labritja,6576
Sant Josep de sa Talaia,27732
Sant Llorenç des Cardassar,8742
Sant Lluis,6735
Santa Eugènia,1641
Santa Eulària des Riu,39358
Santa Margalida,12797
Santa Maria del Cami,7486
Santanyi,12373
Selva,4080
Sencelles,3370
Sineu,4030
Soller,13634
Son Servera,11817
Valldemossa,2009
Vilafranca de Bonany,3466
Abrera,12538
Aguilar de Segarra,282
Aiguafreda,2512
Alella,9904
Alpens,261
"Ametlla del Vallès, L'",8646
Arenys de Mar,15941
Arenys de Munt,9121
Argençola,219
Argentona,12536
Artes,5762
Avià,2220
Avinyo,2289
Avinyonet del Penedès,1697
Badalona,223166
Badia del Vallès,13415
Bagà,2140
Balenyà,3840
Balsareny,3192
Barberà del Vallès,33334
Barcelona,1664182
Begues,7300
Bellprat,64
Berga,16760
Bigues i Riells,9358
Borredà,464
"Bruc, El",2110
"Brull, El",258
"Cabanyes, Les",979
Cabrera d'Anoia,1482
Cabrera de Mar,4747
Cabrils,7432
Calaf,3656
Calders,1045
Caldes de Montbui,17812
Caldes d'Estrac,3021
Calella,19277
Calldetenes,2513
Callus,2129
Calonge de Segarra,188
Campins,541
Canet de Mar,14865
Canovelles,16829
Cànoves i Samalus,3156
Canyelles,4699
Capellades,5342
Capolat,84
Cardedeu,18424
Cardona,4639
Carme,785
Casserres,1588
Castell de l'Areny,67
Castellar de n'Hug,156
Castellar del Riu,176
Castellar del Vallès,24488
Castellbell i el Vilar,3719
Castellbisbal,12539
Castellcir,742
Castelldefels,67460
Castellet i la Gornal,2382
Castellfollit de Riubregos,162
Castellfollit del Boix,447
Castellgali,2119
Castellnou de Bages,1437
Castelloli,626
Castellterçol,2548
Castellvi de la Marca,1575
Castellvi de Rosanes,1933
Centelles,7513
Cercs,1150
Cerdanyola del Vallès,57855
Cervello,9077
Collbato,4544
Collsuspina,359
Copons,321
Corbera de Llobregat,14882
Cornellà de Llobregat,89936
Cubelles,15770
Dosrius,5652
Esparreguera,22302
Esplugues de Llobregat,47150
"Espunyola, L'",242
"Esquirol, L'",2186
"Estany, L'",408
Figaro-Montmany,1142
Figols,43
Fogars de la Selva,1469
Fogars de Montclus,475
Folgueroles,2265
Fonollosa,1459
Font-rubi,1414
"Franqueses del Vallès, Les",20364
Gaià,183
Gallifa,167
"Garriga, La",16668
Gavà,47057
Gelida,7670
Gironella,4946
Gisclareny,26
"Granada, La",2208
Granera,77
Granollers,62419
Gualba,1548
Guardiola de Berguedà,941
Gurb,2713
"Hospitalet de Llobregat, L'",269382
"Hostalets de Pierola, Els",2980
Igualada,40742
Jorba,833
"Llacuna, La",903
"Llagosta, La",13587
Lliçà d'Amunt,15469
Lliçà de Vall,6497
Llinars del Vallès,10018
Lluçà,276
Malgrat de Mar,18772
Malla,272
Manlleu,20912
Manresa,78245
Marganell,266
Martorell,28772
Martorelles,4820
"Masies de Roda, Les",719
"Masies de Voltregà, Les",3132
"Masnou, El",23831
Masquefa,9402
Matadepera,9496
Mataro,129661
Mediona,2369
Moià,6383
Molins de Rei,25940
Mollet del Vallès,51600
Monistrol de Calders,702
Monistrol de Montserrat,3139
Montcada i Reixac,36803
Montclar,139
Montesquiu,1030
Montgat,12200
Montmajor,469
Montmaneu,151
Montmelo,8831
Montornès del Vallès,16644
Montseny,351
Muntanyola,632
Mura,220
Navarcles,6057
Navàs,6018
"Nou de Berguedà, La",162
Òdena,3668
Olèrdola,3768
Olesa de Bonesvalls,1840
Olesa de Montserrat,24144
Olivella,3935
Olost,1202
Olvan,858
Oris,322
Oristà,549
Orpi,151
Òrrius,758
Pacs del Penedès,918
Palafolls,9613
Palau-solità i Plegamans,14892
Pallejà,11622
"Palma de Cervello, La",2992
"Papiol, El",4172
Parets del Vallès,19071
Perafita,405
Piera,16134
Pineda de Mar,27984
"Pla del Penedès, El",1275
"Pobla de Claramunt, La",2185
"Pobla de Lillet, La",1093
Polinyà,8504
"Pont de Vilomara i Rocafort, El",3907
Pontons,528
"Prat de Llobregat, El",65385
Prats de Lluçanès,2604
"Prats de Rei, Els",537
Premià de Dalt,10441
Premià de Mar,28531
Puigdàlber,524
Puig-reig,4295
Pujalt,210
"Quar, La",49
Rajadell,534
Rellinars,809
Ripollet,39179
"Roca del Vallès, La",10754
Roda de Ter,6490
Rubi,78591
Rubio,239
Rupit i Pruit,271
Sabadell,216520
Sagàs,145
Saldes,278
Sallent,6735
Sant Adrià de Besòs,37447
Sant Agusti de Lluçanès,89
Sant Andreu de la Barca,27569
Sant Andreu de Llavaneres,11133
Sant Antoni de Vilamajor,6208
Sant Bartomeu del Grau,884
Sant Boi de Llobregat,84500
Sant Boi de Lluçanès,580
Sant Cebrià de Vallalta,3438
Sant Celoni,18136
Sant Climent de Llobregat,4160
Sant Cugat del Vallès,92977
Sant Cugat Sesgarrigues,1009
Sant Esteve de Palautordera,2864
Sant Esteve Sesrovires,7696
Sant Feliu de Codines,6363
Sant Feliu de Llobregat,45467
Sant Feliu Sasserra,605
Sant Fost de Campsentelles,8853
Sant Fruitos de Bages,8837
Sant Hipòlit de Voltregà,3540
Sant Iscle de Vallalta,1342
Sant Jaume de Frontanyà,30
Sant Joan de Vilatorrada,10998
Sant Joan Despi,34267
Sant Julià de Cerdanyola,229
Sant Julià de Vilatorta,3140
Sant Just Desvern,18670
Sant Llorenç d'Hortons,2428
Sant Llorenç Savall,2417
Sant Marti d'Albars,114
Sant Marti de Centelles,1184
Sant Marti de Tous,1228
Sant Marti Sarroca,3261
Sant Marti Sesgueioles,342
Sant Mateu de Bages,608
Sant Pere de Ribes,31111
Sant Pere de Riudebitlles,2380
Sant Pere de Torello,2470
Sant Pere de Vilamajor,4544
Sant Pere Sallavinera,151
Sant Pol de Mar,5428
Sant Quinti de Mediona,2317
Sant Quirze de Besora,2154
Sant Quirze del Vallès,20195
Sant Quirze Safaja,631
Sant Sadurni d'Anoia,12841
Sant Sadurni d'Osormort,76
Sant Salvador de Guardiola,3221
Sant Vicenç de Castellet,9767
Sant Vicenç de Montalt,6452
Sant Vicenç de Torello,2058
Sant Vicenç dels Horts,28268
Santa Cecilia de Voltregà,182
Santa Coloma de Cervello,8268
Santa Coloma de Gramenet,120443
Santa Eugènia de Berga,2278
Santa Eulàlia de Riuprimer,1383
Santa Eulàlia de Ronçana,7426
Santa Fe del Penedès,367
Santa Margarida de Montbui,10225
Santa Margarida i els Monjos,7676
Santa Maria de Besora,161
Santa Maria de Martorelles,890
Santa Maria de Merlès,184
Santa Maria de Miralles,119
Santa Maria de Palautordera,9630
Santa Maria d'Olo,1024
Santa Perpètua de Mogoda,25999
Santa Susanna,3548
Santpedor,7604
Sentmenat,9235
Seva,3544
Sitges,29553
Sobremunt,78
Sora,212
Subirats,3104
Suria,5948
Tagamanent,318
Talamanca,209
Taradell,6640
Tavèrnoles,322
Tavertet,105
Teià,6427
Terrassa,223627
Tiana,8945
Tona,8356
Tordera,17519
Torello,14400
"Torre de Claramunt, La",3741
Torrelavit,1422
Torrelles de Foix,2398
Torrelles de Llobregat,6073
Ullastrell,2089
Vacarisses,6832
Vallbona d'Anoia,1357
Vallcebre,249
Vallgorguina,2988
Vallirana,15312
Vallromanes,2558
Veciana,175
Vic,47630
Vilada,419
Viladecans,67197
Viladecavalls,7545
Vilafranca del Penedès,40154
Vilalba Sasserra,753
Vilanova de Sau,312
Vilanova del Cami,12596
Vilanova del Vallès,5503
Vilanova i la Geltru,67733
Vilassar de Dalt,9072
Vilassar de Mar,21035
Vilobi del Penedès,1102
Viver i Serrateix,172
Abadiño,7658
Abanto y Ciervana-Abanto Zierbena,9471
Ajangiz,464
Alonsotegi,2879
Amorebieta-Etxano,19529
Amoroto,416
Arakaldo,165
Arantzazu,408
Areatza,1216
Arrankudiaga,965
Arratzu,413
Arrieta,580
Arrigorriaga,12225
Artea,733
Artzentales,699
Atxondo,1335
Aulesti,657
Bakio,2676
Balmaseda,7722
Barakaldo,101486
Barrika,1533
Basauri,40847
Bedia,1061
Berango,7217
Bermeo,16864
Berriatua,1251
Berriz,4580
Bilbao,350184
Busturia,1632
Derio,6730
Dima,1448
Durango,30118
Ea,808
Elantxobe,347
Elorrio,7375
Erandio,24530
Ereño,260
Ermua,15847
Errigoiti,486
Etxebarri,11691
Etxebarria,782
Forua,907
Fruiz,552
Galdakao,29427
Galdames,838
Gamiz-Fika,1362
Garai,325
Gatika,1665
Gautegiz Arteaga,808
Gernika-Lumo,17105
Getxo,77770
Gizaburuaga,197
Gordexola,1697
Gorliz,5891
Güeñes,6736
Ibarrangelu,629
Igorre,4337
Ispaster,729
Iurreta,3665
Izurtza,252
Karrantza Harana/Valle de Carranza,2803
Kortezubi,442
Lanestosa,253
Larrabetzu,2037
Laukiz,1227
Leioa,32013
Lekeitio,7317
Lemoa,3504
Lemoiz,1258
Lezama,2445
Loiu,2394
Mallabia,1173
Mañaria,522
Markina-Xemein,5068
Maruri-Jatabe,978
